Country,annual_income,corruption_index,cost_index,monthly_income,purchasing_power_index,gdp_per_capita,tourists_in_millions,receipts_in_billions,receipts_per_tourist,percentage_of_gdp,unemployment_rate
Malta,,,75.7,2547.0,57.3,47714.0,,,,,
Marshall Islands,,,,,,,,,,,36.0
Mauritania,1730.0,72.0,,,,,,,,,
Mauritius,,,43.3,905.0,35.6,,,,,,
Mexico,9380.0,69.0,54.7,782.0,24.4,,51.1,11.45,224.0,0.9,4.4
Moldova,,,38.5,455.0,20.1,,0.0,0.35,12207.0,2.6,
Mongolia,,,35.3,313.0,15.1,,,,,,
Montenegro,,,51.2,775.0,25.8,,,,,,
Morocco,,,45.0,279.0,10.6,,2.8,4.51,1611.0,3.4,
Mozambique,480.0,74.0,,,,,,,,,
Nepal,1230.0,67.0,28.1,103.0,6.2,,,,,,
Netherlands,56370.0,18.0,99.0,4698.0,80.8,63767.0,7.3,10.93,1504.0,1.1,4.0
New Caledonia,,,125.8,1101.0,14.9,,,,,,
New Zealand,45340.0,12.0,117.2,3778.0,54.9,46420.0,,,,,
Nicaragua,2010.0,80.0,35.8,168.0,8.0,,,,,,
Niger,590.0,69.0,,,,,,,,,0.8
Nigeria,2100.0,76.0,41.8,175.0,7.1,,,,,,9.8
Norway,84090.0,15.0,124.6,7008.0,95.9,79201.0,1.4,2.2,1572.0,0.5,5.0
Oman,,,,,,30422.0,,,,,
Pakistan,1500.0,72.0,25.8,125.0,8.3,,,,,,4.4
Panama,,,,,,31680.0,,,,,
Papua New Guinea,2790.0,69.0,,,,,,,,,
Paraguay,5340.0,70.0,38.6,445.0,19.6,,,,,,
Philippines,3640.0,67.0,40.9,303.0,12.6,,1.5,2.77,1867.0,0.7,2.4
Poland,16670.0,44.0,51.1,1389.0,46.3,37503.0,,,,,3.4
Portugal,23730.0,38.0,76.4,1978.0,44.1,35888.0,4.2,10.52,2500.0,4.2,
Principality of Monaco,,,,,,,,,,,2.0
Puerto Rico,,,,,,,3.9,2.92,752.0,2.8,
Qatar,57120.0,37.0,71.4,4760.0,113.6,93521.0,0.6,14.32,24601.0,8.0,0.3
Romania,14170.0,55.0,47.4,1181.0,42.4,35414.0,5.0,1.61,321.0,0.6,5.2
Russia,11600.0,71.0,36.9,967.0,44.7,33361.0,6.4,4.96,780.0,0.3,5.0
Saudi Arabia,22270.0,47.0,44.5,1856.0,71.1,49551.0,,,,,7.4
Serbia,,,51.2,703.0,23.4,,0.4,1.42,3188.0,2.3,
Sierra Leone,510.0,66.0,,,,,,,,,
Singapore,64010.0,15.0,75.0,5334.0,121.1,116486.0,,,,,3.6
Slovakia,,,,,,33010.0,,,,,
Slovenia,,,,,,43625.0,,,,,
Somalia,450.0,87.0,,,,,,,,,
South Africa,6440.0,56.0,47.1,537.0,19.4,,3.9,2.72,699.0,0.6,33.6
South Korea,34980.0,38.0,87.0,2915.0,57.1,46918.0,2.5,11.78,4675.0,0.7,3.5
South Sudan,460.0,89.0,,,,,,,,,
Spain,29740.0,39.0,82.9,2478.0,50.9,40775.0,,,,,14.7
Sri Lanka,3820.0,63.0,30.4,318.0,17.8,,,,,,5.4
Sudan,670.0,80.0,,,,,,,,,
Suriname,,,35.0,370.0,18.0,,,,,,
Sweden,58890.0,15.0,109.3,4908.0,76.5,59324.0,,,,,8.7
Switzerland,90360.0,16.0,142.4,7530.0,90.1,77324.0,,,,,5.3
Syria,1170.0,87.0,,,,,,,,,
Taiwan,,,,,,,,,,,3.7
Tajikistan,1150.0,75.0,22.8,96.0,7.2,,,,,,
Tanzania,,,34.1,95.0,4.7,,,,,,
Thailand,7260.0,65.0,38.4,605.0,26.8,,,,,,1.4
Timor-Leste,,,41.9,162.0,6.6,,,,,,
Togo,980.0,70.0,,,,,,,,,
Tunisia,,,30.9,303.0,16.7,,,,,,
Turkey,9830.0,62.0,34.4,819.0,40.6,30472.0,16.0,13.77,862.0,1.7,13.4
Turkmenistan,7220.0,81.0,,,,,,,,,
Turks and Caicos Islands,,,124.6,1967.0,26.9,,,,,,
Uganda,840.0,73.0,,,,,,,,,
Ukraine,4120.0,68.0,29.9,343.0,19.6,,3.4,0.69,203.0,0.3,8.9
United Arab Emirates,39410.0,31.0,72.3,3284.0,77.3,,8.1,24.62,3045.0,6.9,
United Kingdom,45380.0,22.0,107.9,3782.0,59.7,49675.0,,,,,4.5
United States,70430.0,33.0,100.0,5869.0,100.0,69288.0,45.0,84.21,1870.0,0.4,5.5
Uzbekistan,1960.0,72.0,,,,,,,,,
Venezuela,13080.0,86.0,,,,,,,,,
Vietnam,3560.0,61.0,34.4,297.0,14.7,,3.8,3.23,842.0,0.9,2.2
Virgin Islands,,,,,,,8.6,0.69,80.0,16.3,
Yemen,670.0,84.0,,,,,,,,,
Zambia,1040.0,67.0,31.7,87.0,4.7,,,,,,
Zimbabwe,1400.0,77.0,,,,,,,,,
